발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2017,2017010101,15,야간,일,1,2,1,0,0,전남,장성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,933501,1700129,126.768634,35.29446394
2017,2017010102,28,야간,일,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,967570,1944453,127.133107,37.49874052
2017,2017010102,43,야간,일,1,2,0,1,0,충남,홍성군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,916497,1842880,126.5666315,36.58006864
2017,2017010102,22,야간,일,1,1,0,0,0,충남,아산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,961608,1864573,127.0697591,36.77850542
2017,2017010104,37,야간,일,1,1,0,0,0,서울,금천구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,946778,1941695,126.8980936,37.47294629
2017,2017010104,0,야간,일,1,2,1,0,0,강원,춘천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1021195,1985798,127.740989,37.87175076
2017,2017010105,50,야간,일,1,1,0,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,959140,1912805,127.039488,37.21317246
2017,2017010109,25,주간,일,1,5,3,1,0,광주,북구,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,교량위,화물차,화물차,없음,없음,942432,1692541,126.8673846,35.22660077
2017,2017010118,33,야간,일,1,3,1,1,0,제주,서귀포시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,922514,1476665,126.667913,33.27858211
2017,2017010120,0,야간,일,1,7,4,2,0,충남,공주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,962530,1823895,127.0820735,36.41183818
2017,2017010122,10,야간,일,2,2,0,0,0,전남,무안군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,905827,1665350,126.4682679,34.97879769
2017,2017010203,30,야간,월,1,2,0,1,0,울산,울주군,차대사람,차도통행중,차도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1162551,1720013,129.2913947,35.46267061
2017,2017010204,30,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,948413,1957900,126.915444,37.61909675
2017,2017010206,44,주간,월,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,966955,1754577,127.1344831,35.7867651
2017,2017010207,15,주간,월,1,1,0,0,0,충남,예산군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,925103,1855465,126.6615883,36.69422437
2017,2017010207,10,주간,월,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,화물차,화물차,보행자,보행자,910531,1502842,126.5364027,33.51384762
2017,2017010208,40,주간,월,1,1,0,0,0,서울,영등포구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,이륜차,이륜차,없음,없음,946757,1943309,126.8977393,37.48749238
2017,2017010209,0,주간,월,1,2,1,0,0,경북,청송군,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1134705,1810932,128.9999916,36.28629343
2017,2017010210,10,주간,월,1,1,0,0,0,경남,양산시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,화물차,1138995,1709400,129.0300754,35.3705828
2017,2017010212,30,주간,월,1,1,0,0,0,경북,울진군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1166337,1901018,129.3716493,37.09304415
2017,2017010217,40,주간,월,1,5,0,4,0,서울,금천구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,승합차,승합차,947235,1938476,126.9034922,37.44395888
2017,2017010217,13,주간,월,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,964223,1950661,127.0949431,37.55460089
2017,2017010217,5,주간,월,1,1,0,0,0,경북,의성군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,교량위,이륜차,이륜차,없음,없음,1080719,1818230,128.3996819,36.35811022
2017,2017010217,55,주간,월,1,1,0,0,0,경기,안성시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,978913,1900967,127.2626705,37.10712021
2017,2017010217,50,주간,월,1,1,0,0,0,경남,남해군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,1048067,1657068,128.0261565,34.90724278
2017,2017010218,38,야간,월,1,1,0,0,0,전남,순천시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,화물차,화물차,998903,1664061,127.4879825,34.9714407
2017,2017010301,0,야간,화,1,1,0,0,0,경기,안성시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,975120,1889560,127.2203592,37.00420168
2017,2017010305,16,야간,화,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,승용차,보행자,보행자,1040515,1927745,127.9574381,37.34785241
2017,2017010306,45,주간,화,2,4,0,0,2,부산,강서구,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,화물차,화물차,승용차,승용차,1126079,1685284,128.8842307,35.15490802
2017,2017010306,35,주간,화,1,1,0,0,0,충남,천안시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,승용차,972938,1875546,127.1963364,36.87781367
2017,2017010309,35,주간,화,1,1,0,0,0,경남,산청군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,1031886,1697393,127.8505905,35.27149665
2017,2017010310,56,주간,화,1,1,0,0,0,경기,안성시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,982705,1896000,127.3054628,37.06242418
2017,2017010311,0,주간,화,1,1,0,0,0,전남,담양군,차대차,기타,기타,운전자법규위반,안전거리 미확보,단일로,기타단일로,화물차,화물차,자전거,자전거,957621,1706124,127.033589,35.34983196
2017,2017010312,30,주간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,941187,1502690,126.8665375,33.51415119
2017,2017010318,10,야간,화,1,1,0,0,0,경기,평택시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,952971,1951690,126.9674896,37.56336972
2017,2017010318,30,야간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,911850,1496102,126.5514142,33.45292523
2017,2017010318,5,야간,화,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,951809,1942583,126.9549303,37.48122622
2017,2017010322,10,야간,화,1,1,0,0,0,경기,남양주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,971115,1954995,127.1728002,37.59390689
2017,2017010322,34,야간,화,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,965638,1758819,127.1194193,35.8253148
2017,2017010400,5,야간,수,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,952420,1916355,126.9635265,37.24485239
2017,2017010405,15,야간,수,1,1,0,0,0,경기,안양시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,949831,1931894,126.9332858,37.38477745
2017,2017010409,35,주간,수,1,1,0,0,0,서울,중랑구,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,자전거,자전거,승용차,승용차,963459,1955106,127.0860718,37.5946351
2017,2017010412,30,주간,수,1,1,0,0,0,경기,시흥시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,자전거,자전거,933420,1927065,126.7483524,37.34021957
2017,2017010412,0,주간,수,1,2,0,1,0,경기,이천시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로내,승용차,승용차,특수차,특수차,999212,1908687,127.4911231,37.17694712
